date,value,n
2007-01-31,0.9989999999999999,20
2007-02-01,1.0071923795484203,20
2007-02-02,1.0136141909662222,20
2007-02-05,1.0167489332133952,20
2007-02-06,1.0186088424885997,20
2007-02-07,1.0216583872183347,20
2007-02-08,1.0169670123383214,20
2007-02-09,1.0049580439426702,20
2007-02-12,0.998940496306924,20
2007-02-13,1.00275423132514,20
2007-02-14,1.0186391627017266,20
2007-02-15,1.0225428787815105,20
2007-02-16,1.020985942030257,20
2007-02-20,1.0304701605169715,20
2007-02-21,1.028238135522948,20
2007-02-22,1.0207831155869582,20
2007-02-23,1.016241268546503,20
2007-02-26,1.009775112325427,20
2007-02-27,0.966997162267615,20
2007-02-28,0.9756607581231591,20
2007-03-01,0.9755451374328472,20
2007-03-02,0.968308762496183,20
2007-03-05,0.9601749077796997,20
2007-03-06,0.9791453745494382,20
2007-03-07,0.9805700727220494,20
2007-03-08,0.9910693738995052,20
2007-03-09,0.9944633154305744,20
2007-03-12,0.9984393900679017,20
2007-03-13,0.973552883591717,20
2007-03-14,0.9806112002628655,20
2007-03-15,0.9817413233200433,20
2007-03-16,0.9787089966053446,20
2007-03-19,0.9965721097912127,20
2007-03-20,1.0030888700248073,20
2007-03-21,1.021745257280653,20
2007-03-22,1.018137975804094,20
2007-03-23,1.0168073755676355,20
2007-03-26,1.0199986444930917,20
2007-03-27,1.0107804296780913,20
2007-03-28,0.9984231637092331,20
2007-03-29,1.0019805709886356,20
2007-03-30,1.0036842763063276,20
2007-04-02,1.0057339635322107,20
2007-04-03,1.0189304390542133,20
2007-04-04,1.020471180352187,20
2007-04-05,1.023822382212037,20
2007-04-09,1.024628725704404,20
2007-04-10,1.0250955375709192,20
2007-04-11,1.0190153503434565,20
2007-04-12,1.0261702965196267,20
2007-04-13,1.0320898103246658,20
2007-04-16,1.0449632591109417,20
2007-04-17,1.0461151226702514,20
2007-04-18,1.0421637049450485,20
2007-04-19,1.0395821155820955,20
2007-04-20,1.052110059946958,20
2007-04-23,1.0597994752093627,20
2007-04-24,1.0575978156719876,20
2007-04-25,1.0639277481176008,20
2007-04-26,1.0657906014453318,20
2007-04-27,1.076860103386025,20
2007-04-30,1.0530589413612061,20
2007-05-01,1.0519331861504266,20
2007-05-02,1.058319177342976,20
2007-05-03,1.0571778867571997,20
2007-05-04,1.0630887425739486,20
2007-05-07,1.0613420789790897,20
2007-05-08,1.058997405799583,20
2007-05-09,1.0643063392443755,20
2007-05-10,1.0503601309463886,20
2007-05-11,1.0610396544874197,20
2007-05-14,1.0593483854422066,20
2007-05-15,1.0554168573353935,20
2007-05-16,1.062346199509433,20
2007-05-17,1.06482845315643,20
2007-05-18,1.0703062583483414,20
2007-05-21,1.0749081362230961,20
2007-05-22,1.075199103067402,20
2007-05-23,1.0711517039344782,20
2007-05-24,1.0570585074277816,20
2007-05-25,1.0635773762837988,20
2007-05-29,1.0714094353763375,20
2007-05-30,1.0815629991052274,20
2007-05-31,1.084875762030264,20
2007-06-01,1.0877790334322737,20
2007-06-04,1.0914325598975598,20
2007-06-05,1.0906228370408904,20
2007-06-06,1.0730580716799385,20
2007-06-07,1.0473819583115942,20
2007-06-08,1.0595967651121156,20
2007-06-11,1.0625691068497556,20
2007-06-12,1.0516562091097152,20
2007-06-13,1.0729363510036967,20
2007-06-14,1.075952800071433,20
2007-06-15,1.081453830328862,20
2007-06-18,1.0797042594780033,20
2007-06-19,1.0851344971778154,20
2007-06-20,1.0730134413041315,20
2007-06-21,1.080541797167079,20
2007-06-22,1.0632413141819979,20
2007-06-25,1.0553267039066154,20
2007-06-26,1.0498317582222552,20
2007-06-27,1.0655089614604973,20
2007-06-28,1.066068234203382,20
2007-06-29,1.0610887105111368,20
2007-07-02,1.0799462872008616,20
2007-07-03,1.0865162387943648,20
2007-07-05,1.0868024756490484,20
2007-07-06,1.0953568448085518,20
2007-07-09,1.1044535748362683,20
2007-07-10,1.0821047867140279,20
2007-07-11,1.0909999264100723,20
2007-07-12,1.1141561437770697,20
2007-07-13,1.1220410906852138,20
2007-07-16,1.1166754876214082,20
2007-07-17,1.1172986752446992,20
2007-07-18,1.1139108025402333,20
2007-07-19,1.1285066130337686,20
2007-07-20,1.1053761034947358,20
2007-07-23,1.1070777536987015,20
2007-07-24,1.0801504898764187,20
2007-07-25,1.0733722411401698,20
2007-07-26,1.0422920029062324,20
2007-07-27,1.0232494008614503,20
2007-07-30,1.049120713072898,20
2007-07-31,1.0312944437004463,20
2007-08-01,1.0238692517775974,20
2007-08-02,1.0381070753673813,20
2007-08-03,0.9995707324830599,20
2007-08-06,1.022000731258034,20
2007-08-07,1.0261528115010148,20
2007-08-08,1.023488408014458,20
2007-08-09,0.9851499282207361,20
2007-08-10,1.0024852832468845,20
2007-08-13,1.0157495799806253,20
2007-08-14,0.9839021204459939,20
2007-08-15,0.9685521936584776,20
2007-08-16,0.9601751576239874,20
2007-08-17,0.9860862254333894,20
2007-08-20,0.9972202733591384,20
2007-08-21,1.006827515980899,20
2007-08-22,1.031555762302433,20
2007-08-23,1.027677687363697,20
2007-08-24,1.0437115898466414,20
2007-08-27,1.029774428564961,20
2007-08-28,1.0005221634638748,20
2007-08-29,1.0271883133898947,20
2007-08-30,1.0245828976277604,20
2007-08-31,1.0475748682217112,20
2007-09-04,1.0669122887795337,20
2007-09-05,1.0425119955158082,20
2007-09-06,1.0458873101793906,20
2007-09-07,1.022036744003906,20
2007-09-10,1.0151496387895507,20
2007-09-11,1.0331173332853203,20
2007-09-12,1.0282313850538414,20
2007-09-13,1.039268657617879,20
2007-09-14,1.0415042566747204,20
2007-09-17,1.0361718657074548,20
2007-09-18,1.0846763360576837,20
2007-09-19,1.0990738526907127,20
2007-09-20,1.0966053646970548,20
2007-09-21,1.108257287535512,20
2007-09-24,1.0967558768392947,20
2007-09-25,1.0926477010892672,20
2007-09-26,1.0981273379165326,20
2007-09-27,1.10720046756376,20
2007-09-28,1.0983063115367597,20
2007-10-01,1.1188305224032964,20
2007-10-02,1.1204900484978826,20
2007-10-03,1.1097630990590748,20
2007-10-04,1.1168037222760228,20
2007-10-05,1.1321584218994496,20
2007-10-08,1.1274359539178034,20
2007-10-09,1.1444121272055086,20
2007-10-10,1.1527259760449464,20
2007-10-11,1.1388875091142914,20
2007-10-12,1.1430129685009738,20
2007-10-15,1.1315592282354698,20
