date,value,n
2007-01-31,0.9989999999999999,20
2007-02-01,1.0071923795484203,20
2007-02-02,1.0136141909662222,20
2007-02-05,1.0167489332133952,20
2007-02-06,1.0186088424885997,20
2007-02-07,1.0216583872183347,20
2007-02-08,1.0169670123383214,20
2007-02-09,1.0049580439426702,20
2007-02-12,0.998940496306924,20
2007-02-13,1.00275423132514,20
2007-02-14,1.0186391627017266,20
2007-02-15,1.0225428787815105,20
2007-02-16,1.020985942030257,20
2007-02-20,1.0304701605169715,20
2007-02-21,1.028238135522948,20
2007-02-22,1.0207831155869582,20
2007-02-23,1.016241268546503,20
2007-02-26,1.009775112325427,20
2007-02-27,0.966997162267615,20
2007-02-28,0.9756316861061541,20
2007-03-01,0.9755576695451232,20
2007-03-02,0.9684601884443924,20
2007-03-05,0.9603682370837924,20
2007-03-06,0.979243033375207,20
2007-03-07,0.9805198178898076,20
2007-03-08,0.9910725004865873,20
2007-03-09,0.9942884541697087,20
2007-03-12,0.9983260648997653,20
2007-03-13,0.9734546201518448,20
2007-03-14,0.9804489786682671,20
2007-03-15,0.9816187855428226,20
2007-03-16,0.9785712216629262,20
2007-03-19,0.9963043108610735,20
2007-03-20,1.0027958952139377,20
2007-03-21,1.021537560866881,20
2007-03-22,1.018070602270326,20
2007-03-23,1.0168488769858783,20
2007-03-26,1.0200302324296975,20
2007-03-27,1.0110114690392575,20
2007-03-28,0.9987775948187068,20
2007-03-29,1.002164199289505,20
2007-03-30,1.0039402358280674,20
2007-04-02,1.0061478160409476,20
2007-04-03,1.0192106496484543,20
2007-04-04,1.0206377170423626,20
2007-04-05,1.024027204340231,20
2007-04-09,1.0249488256828778,20
2007-04-10,1.0252812788223657,20
2007-04-11,1.0191271276014757,20
2007-04-12,1.0262989708965038,20
2007-04-13,1.0323237555654932,20
2007-04-16,1.0452418737478155,20
2007-04-17,1.0463614023632666,20
2007-04-18,1.0426884372821739,20
2007-04-19,1.0403819214592698,20
2007-04-20,1.0531855271432797,20
2007-04-23,1.061186457912515,20
2007-04-24,1.0581673891904075,20
2007-04-25,1.0646495760905832,20
2007-04-26,1.0666366327486494,20
2007-04-27,1.0772162675118595,20
2007-04-30,1.0535354504915437,20
2007-05-01,1.052518069753105,20
2007-05-02,1.0586352467145739,20
2007-05-03,1.0569028460247236,20
2007-05-04,1.0632911132979124,20
2007-05-07,1.0616024212469783,20
2007-05-08,1.059333867074798,20
2007-05-09,1.0642083720249143,20
2007-05-10,1.0503878174665446,20
2007-05-11,1.060770358149736,20
2007-05-14,1.0593776341862622,20
2007-05-15,1.055523572862102,20
2007-05-16,1.062559950654139,20
2007-05-17,1.0645822041441928,20
2007-05-18,1.0701324605387526,20
2007-05-21,1.0747859939366182,20
2007-05-22,1.0755256006725649,20
2007-05-23,1.071465431205324,20
2007-05-24,1.0576063604799946,20
2007-05-25,1.0637915356077379,20
2007-05-29,1.071624202611695,20
2007-05-30,1.082083020849169,20
2007-05-31,1.0847561897832911,20
2007-06-01,1.087503263574255,20
2007-06-04,1.0911015651557938,20
2007-06-05,1.0889505076446417,20
2007-06-06,1.0718643514760229,20
2007-06-07,1.0463067992391668,20
2007-06-08,1.05848310977863,20
2007-06-11,1.0611946740776486,20
2007-06-12,1.0502069834587844,20
2007-06-13,1.0713277159463888,20
2007-06-14,1.074203665999948,20
2007-06-15,1.0795930329869212,20
2007-06-18,1.0781803400924073,20
2007-06-19,1.0834956517781342,20
2007-06-20,1.070987756285143,20
2007-06-21,1.0781503890697606,20
2007-06-22,1.0606194721724875,20
2007-06-25,1.052967534415804,20
2007-06-26,1.047799330941299,20
2007-06-27,1.0633898968853082,20
2007-06-28,1.06390435750199,20
2007-06-29,1.058402928491481,20
2007-07-02,1.0762017879817247,20
2007-07-03,1.0828071315374719,20
2007-07-05,1.0831644927778445,20
2007-07-06,1.0918962560144663,20
2007-07-09,1.0986244438818549,20
2007-07-10,1.0771916708484164,20
2007-07-11,1.085868007832652,20
2007-07-12,1.1094621989833733,20
2007-07-13,1.1164003464325214,20
2007-07-16,1.1108544601816053,20
2007-07-17,1.111799347705318,20
2007-07-18,1.1078728213512834,20
2007-07-19,1.1228055356756037,20
2007-07-20,1.0997661203122446,20
2007-07-23,1.1015942064211806,20
2007-07-24,1.0756263344535049,20
2007-07-25,1.0708104701511918,20
2007-07-26,1.0399774674363702,20
2007-07-27,1.0216656056988829,20
2007-07-30,1.0467596968397175,20
2007-07-31,1.02865936260192,20
2007-08-01,1.021505268140022,20
2007-08-02,1.0351726498230744,20
2007-08-03,0.996509424222219,20
2007-08-06,1.019098015620067,20
2007-08-07,1.0232294987969666,20
2007-08-08,1.0208461820978298,20
2007-08-09,0.9842476325588493,20
2007-08-10,1.0010357036001976,20
2007-08-13,1.012886963634611,20
2007-08-14,0.9823122679743175,20
2007-08-15,0.9680321070844796,20
2007-08-16,0.9615928968220007,20
2007-08-17,0.9874433685238384,20
2007-08-20,0.9976298456912811,20
2007-08-21,1.006134835910941,20
2007-08-22,1.0293657045727282,20
2007-08-23,1.0269109472367128,20
2007-08-24,1.042074983670311,20
2007-08-27,1.0280481845051277,20
2007-08-28,0.9996752350862397,20
2007-08-29,1.0261550012262681,20
2007-08-30,1.0235633128720671,20
2007-08-31,1.0450372434150965,20
2007-09-04,1.0638725809454541,20
2007-09-05,1.0395525486347643,20
2007-09-06,1.0432049657971587,20
2007-09-07,1.0193423819693765,20
2007-09-10,1.0119823578817404,20
2007-09-11,1.0294287875811754,20
2007-09-12,1.024807115944557,20
2007-09-13,1.0354288205553892,20
2007-09-14,1.0376338829893985,20
2007-09-17,1.0312891491972271,20
2007-09-18,1.0778077064620624,20
2007-09-19,1.0936759087578922,20
2007-09-20,1.0911744985998222,20
2007-09-21,1.1023883003593344,20
2007-09-24,1.091452335389756,20
2007-09-25,1.0866371840532094,20
2007-09-26,1.0919597802209315,20
2007-09-27,1.1014964321613463,20
2007-09-28,1.0929715594901328,20
2007-10-01,1.1122701223084135,20
2007-10-02,1.1147693275461779,20
2007-10-03,1.1055011820545764,20
2007-10-04,1.1118012397656711,20
2007-10-05,1.1269823535850287,20
2007-10-08,1.1231853505491514,20
2007-10-09,1.1398305916279938,20
2007-10-10,1.148826207028985,20
2007-10-11,1.1349650135212308,20
2007-10-12,1.1376666444571109,20
2007-10-15,1.1258602557006183,20
