date,value,n
2007-01-31,0.9989999999999999,20
2007-02-01,1.007273625251293,20
2007-02-02,1.0139024568129307,20
2007-02-05,1.0168427575615993,20
2007-02-06,1.0176136316631794,20
2007-02-07,1.022433031804633,20
2007-02-08,1.0192379297651535,20
2007-02-09,1.0087626897432775,20
2007-02-12,1.0024359254911457,20
2007-02-13,1.0065644040720678,20
2007-02-14,1.0264466260651557,20
2007-02-15,1.0300570248496759,20
2007-02-16,1.0282165496207305,20
2007-02-20,1.0339368375818636,20
2007-02-21,1.0336699943626109,20
2007-02-22,1.0275557655353,20
2007-02-23,1.0237168090789233,20
2007-02-26,1.0151047783607121,20
2007-02-27,0.9698512766390148,20
2007-02-28,0.9782351282766568,20
2007-03-01,0.9766555718997321,20
2007-03-02,0.9615238057617538,20
2007-03-05,0.9543365017927231,20
2007-03-06,0.9747565874164253,20
2007-03-07,0.9747845354210164,20
2007-03-08,0.983363454973018,20
2007-03-09,0.9875028953966882,20
2007-03-12,0.9924749393896577,20
2007-03-13,0.966544871618005,20
2007-03-14,0.9777836571856318,20
2007-03-15,0.9778428774629392,20
2007-03-16,0.9737532943324713,20
2007-03-19,0.989440064617062,20
2007-03-20,0.9960865757155216,20
2007-03-21,1.0188603125556455,20
2007-03-22,1.0160025695387926,20
2007-03-23,1.0150833929993175,20
2007-03-26,1.0147028233507986,20
2007-03-27,1.0083065515470653,20
2007-03-28,0.995457823242638,20
2007-03-29,1.0009905556748577,20
2007-03-30,0.9997262326660287,20
2007-04-02,0.9979535594700766,20
2007-04-03,1.0122703480841093,20
2007-04-04,1.013223276503993,20
2007-04-05,1.0157811123433487,20
2007-04-09,1.0147846619291152,20
2007-04-10,1.0160087430716187,20
2007-04-11,1.0088038093147433,20
2007-04-12,1.014578186611411,20
2007-04-13,1.017455775957145,20
2007-04-16,1.0303287213688253,20
2007-04-17,1.030494444734583,20
2007-04-18,1.034122853984415,20
2007-04-19,1.0295994160438278,20
2007-04-20,1.0444730323424767,20
2007-04-23,1.0482297168560357,20
2007-04-24,1.0473030109803099,20
2007-04-25,1.0562486855471656,20
2007-04-26,1.058679861030597,20
2007-04-27,1.0681709117370886,20
2007-04-30,1.0497675856772102,20
2007-05-01,1.0482909476005542,20
2007-05-02,1.0554203306117595,20
2007-05-03,1.0626929077371208,20
2007-05-04,1.0669541225303216,20
2007-05-07,1.064595008061872,20
2007-05-08,1.064391249475231,20
2007-05-09,1.066614303951153,20
2007-05-10,1.05097702521085,20
2007-05-11,1.0702412709721325,20
2007-05-14,1.0657230120359558,20
2007-05-15,1.0612173124058346,20
2007-05-16,1.0681036317522805,20
2007-05-17,1.0662557802294843,20
2007-05-18,1.0727183995263692,20
2007-05-21,1.0782319231464694,20
2007-05-22,1.0788515348559498,20
2007-05-23,1.072375366638667,20
2007-05-24,1.060019450722113,20
2007-05-25,1.0683089942751924,20
2007-05-29,1.0764821405406313,20
2007-05-30,1.0922223043058268,20
2007-05-31,1.094184711075114,20
2007-06-01,1.0968443545826145,20
2007-06-04,1.0992151208484557,20
2007-06-05,1.1008266577580954,20
2007-06-06,1.0860223637526938,20
2007-06-07,1.063154205002648,20
2007-06-08,1.076478643190795,20
2007-06-11,1.0788637240650516,20
2007-06-12,1.0668589757946996,20
2007-06-13,1.0869121166237181,20
2007-06-14,1.0918560554833499,20
2007-06-15,1.0980080216282453,20
2007-06-18,1.0954164382161649,20
2007-06-19,1.1014738061224048,20
2007-06-20,1.085064064093501,20
2007-06-21,1.0919895321495683,20
2007-06-22,1.075416152899142,20
2007-06-25,1.070600606924672,20
2007-06-26,1.0646417652020714,20
2007-06-27,1.0791079942076187,20
2007-06-28,1.0793807950366903,20
2007-06-29,1.0749603508297503,20
2007-07-02,1.0915572435640681,20
2007-07-03,1.1002099919162835,20
2007-07-05,1.1029027238594304,20
2007-07-06,1.1118277098054024,20
2007-07-09,1.1218124218554633,20
2007-07-10,1.1017117546597197,20
2007-07-11,1.1115541850460715,20
2007-07-12,1.1372396159241076,20
2007-07-13,1.1409572232554548,20
2007-07-16,1.136455825570119,20
2007-07-17,1.1384882442138704,20
2007-07-18,1.1397231312639036,20
2007-07-19,1.1546105403179383,20
2007-07-20,1.1396302197464063,20
2007-07-23,1.1423472528362737,20
2007-07-24,1.1203875029321049,20
2007-07-25,1.1177743122882011,20
2007-07-26,1.0906441095732275,20
2007-07-27,1.0737624026151624,20
2007-07-30,1.0943254064095118,20
2007-07-31,1.0771153557918431,20
2007-08-01,1.0787332760595554,20
2007-08-02,1.0923361968251004,20
2007-08-03,1.0571742376849904,20
2007-08-06,1.0727891283265092,20
2007-08-07,1.0738114996201278,20
2007-08-08,1.0756652843383816,20
2007-08-09,1.0341857216046777,20
2007-08-10,1.0520492954777014,20
2007-08-13,1.06219237213113,20
2007-08-14,1.0307646761920894,20
2007-08-15,1.0048424891480505,20
2007-08-16,0.9974756790334344,20
2007-08-17,1.0202546367073284,20
2007-08-20,1.0306592580702836,20
2007-08-21,1.034667989677302,20
2007-08-22,1.0578455106593232,20
2007-08-23,1.0528974730242653,20
2007-08-24,1.0693358042859733,20
2007-08-27,1.0588712773268343,20
2007-08-28,1.0309491693039319,20
2007-08-29,1.0605442023129903,20
2007-08-30,1.0581057319223428,20
2007-08-31,1.077529809522301,20
2007-09-04,1.0909981896318575,20
2007-09-05,1.0756778124072424,20
2007-09-06,1.0831975718642481,20
2007-09-07,1.0577232114448425,20
2007-09-10,1.0511206642568145,20
2007-09-11,1.0702118122087516,20
2007-09-12,1.0734133073574073,20
2007-09-13,1.0893428690947442,20
