date,spy
2007-01-31,1.0
2007-02-01,1.005982055821911
2007-02-02,1.0073736248433365
2007-02-05,1.0076521375852945
2007-02-06,1.0079296556388881
2007-02-07,1.0101567628861876
2007-02-08,1.0088338273618875
2007-02-09,1.0013209461475718
2007-02-12,0.9979131438120437
2007-02-13,1.0063301967493583
2007-02-14,1.0129389062406748
2007-02-15,1.0142608470766108
2007-02-16,1.0137734497781845
2007-02-20,1.0159299341516301
2007-02-21,1.0155131597270575
2007-02-22,1.0147472496866732
2007-02-23,1.010782421867229
2007-02-26,1.0098782501442298
2007-02-27,0.9704348777528
2007-02-28,0.9803817613941551
2007-03-01,0.9774603616686891
2007-03-02,0.9646607117989934
2007-03-05,0.9554777488212943
2007-03-06,0.9718254520858614
2007-03-07,0.9708526468657369
2007-03-08,0.9790608152465832
2007-03-09,0.979338333300177
2007-03-12,0.9807995305070921
2007-03-13,0.9617383173851631
2007-03-14,0.9689040523603953
2007-03-15,0.9702259931963315
2007-03-16,0.9675094992738774
2007-03-19,0.9791722203433664
2007-03-20,0.9845505003282471
2007-03-21,1.0007529790916505
2007-03-22,0.9999850796745379
2007-03-23,1.0014522450116379
2007-03-26,1.0001243360455168
2007-03-27,0.9977500149203254
2007-03-28,0.9904868004854079
2007-03-29,0.9915342073328426
2007-03-30,0.9917440865776751
2007-04-02,0.9928611216105994
2007-04-03,1.0035470587065072
2007-04-04,1.0046650884277954
2007-04-05,1.0073885451687985
2007-04-09,1.0087850876320448
2007-04-10,1.0099727455388228
2007-04-11,1.005851751646209
2007-04-12,1.0103218811546342
2007-04-13,1.0149312670340382
2007-04-16,1.0245688025941473
2007-04-17,1.0272932540235145
2007-04-18,1.0285505401157817
2007-04-19,1.0282710326854596
2007-04-20,1.037978196431058
2007-04-23,1.0340680764716415
2007-04-24,1.0344868402729424
2007-04-25,1.0439851194620724
2007-04-26,1.0451727773688504
2007-04-27,1.044334255077884
2007-04-30,1.0356735034913562
2007-05-01,1.0383283267352337
2007-05-02,1.0444048779517376
2007-05-03,1.0500616706785764
2007-05-04,1.0540424135118467
2007-05-07,1.0542512980683152
2007-05-08,1.052854755605069
2007-05-09,1.055718463405415
2007-05-10,1.0446833906936956
2007-05-11,1.0536236497105456
2007-05-14,1.0513179620824795
2007-05-15,1.0515984642011658
2007-05-16,1.0587910557622298
2007-05-17,1.0566962420673602
2007-05-18,1.0659150138261682
2007-05-21,1.0653569936538883
2007-05-22,1.064518471362922
2007-05-23,1.064658722422265
2007-05-24,1.0550201921737918
2007-05-25,1.0594196988083633
2007-05-29,1.0632611852706546
2007-05-30,1.0719209421688185
2007-05-31,1.0708039071358941
2007-06-01,1.0761115642469214
2007-06-04,1.0762518153062646
2007-06-05,1.0719915650426721
2007-06-06,1.060467105655798
2007-06-07,1.0413312909065588
2007-06-08,1.0548799411144487
2007-06-11,1.0566962420673602
2007-06-12,1.0451727773688504
2007-06-13,1.0608172359599737
2007-06-14,1.0675920584081007
2007-06-15,1.073665625559512
2007-06-18,1.0724033660254242
2007-06-19,1.0750681361529433
2007-06-20,1.0601289116119919
2007-06-21,1.0660204507927666
2007-06-22,1.055990013328824
2007-06-25,1.050939980504108
2007-06-26,1.0401376648695961
2007-06-27,1.0549376330395688
2007-06-28,1.0547983766685896
2007-06-29,1.0551485069727653
2007-07-02,1.064687568384825
2007-07-03,1.0685449698609426
2007-07-05,1.0674229613861976
2007-07-06,1.07303499313665
2007-07-09,1.0738764994927088
2007-07-10,1.0585851552708536
2007-07-11,1.066090078978256
2007-07-12,1.0829251795412498
2007-07-13,1.0861509539061411
2007-07-16,1.086010702846798
2007-07-17,1.0854496986094255
2007-07-18,1.083485189090258
2007-07-19,1.0876937155589153
2007-07-20,1.076681520679571
2007-07-23,1.0799789126066803
2007-07-24,1.0612499253983727
2007-07-25,1.063425308850737
2007-07-26,1.0382437782242822
2007-07-27,1.0178327729922216
2007-07-30,1.0337547496369386
2007-07-31,1.0221109276463682
2007-08-01,1.0270913322855948
2007-08-02,1.035297511289713
2007-08-03,1.0086448365727017
2007-08-06,1.0255485706328207
2007-08-07,1.0364901426383113
2007-08-08,1.050939980504108
2007-08-09,1.019796287823025
2007-08-10,1.0150277518053592
2007-08-13,1.0186742793482801
2007-08-14,1.0031024330077387
2007-08-15,0.9892852169415322
2007-08-16,0.996719517775081
2007-08-17,1.0150277518053592
2007-08-20,1.0145353810651123
2007-08-21,1.0165705134581335
2007-08-22,1.0286340939383691
2007-08-23,1.027722959396821
2007-08-24,1.0404181669882824
2007-08-27,1.0307388545168799
2007-08-28,1.008082837646965
2007-08-29,1.027863210456164
2007-08-30,1.0251278174547913
2007-08-31,1.0352278831042234
2007-09-04,1.0456790737461952
2007-09-05,1.0366303936976544
2007-09-06,1.0390156563948514
2007-09-07,1.0245658185290547
2007-09-10,1.022601309009887
2007-09-11,1.0345266278075078
2007-09-12,1.037192392623391
2007-09-13,1.0444864423975968
2007-09-14,1.0444168142121073
2007-09-17,1.0388047824616546
2007-09-18,1.0693874709053652
2007-09-19,1.0756997632641694
2007-09-20,1.0681252113712774
2007-09-21,1.071006823562178
2007-09-24,1.069033361847733
2007-09-25,1.0669196490739452
2007-09-26,1.0725575427218652
2007-09-27,1.0788996757315932
2007-09-28,1.0753058666719715
2007-10-01,1.0874271390773271
2007-10-02,1.0859470427914932
2007-10-03,1.0837627071438518
2007-10-04,1.0854546720512463
2007-10-05,1.0983508066922631
2007-10-08,1.0925020391111464
2007-10-09,1.1027910955497642
2007-10-10,1.1009588795830265
2007-10-11,1.0956731056160105
2007-10-12,1.101733741818688
