Date,Close,High,Low,Open,Volume
2021-01-04,343.3191223144531,349.5191455225328,339.6233135802176,349.38880113928235,110210800
2021-01-05,345.68365478515625,346.7728598923991,342.6301928867929,342.6767566253038,66426200
2021-01-06,347.7503967285156,350.9435220537929,343.62636577991566,344.17561345030657,107997700
2021-01-07,352.9170227050781,353.6617584095082,349.9473414971712,350.1242211986964,68766800
2021-01-08,354.9279479980469,355.14204466111744,351.0552586898645,354.3042096437855,71677200
2021-01-11,352.535400390625,354.2948508857765,351.6323932699845,351.7534192361298,51034700
2021-01-12,352.60986328125,353.6245779387695,350.3663089172504,352.7215992262628,52547700
2021-01-13,353.5594787597656,354.55555668053626,351.7534642871781,352.53544554182605,45303600
2021-01-14,352.32122802734375,354.80683398556437,351.9861054675014,354.3041217359534,49989100
2021-01-15,349.7518615722656,351.50199335982205,347.88999385755534,350.70140387922305,107160000
2021-01-19,352.49810791015625,353.0380654699637,350.72933922047633,352.20952068020125,51233300
2021-01-20,357.3761901855469,358.21402492373454,354.39719066105187,354.7881669476118,61836100
2021-01-21,357.7020568847656,358.36304045364824,356.78044135246313,357.934790375537,47840100
2021-01-22,356.4360046386719,357.5996721065897,355.4678253506062,355.8495116892653,52860500
2021-01-25,357.8416442871094,358.1953752542542,352.3211854580391,357.1713708385632,70402000
2021-01-26,357.2831115722656,359.20083303759526,357.05037810890184,358.7912198692873,42665300
2021-01-27,348.5509948730469,354.05281810421934,346.3167590029396,353.95971902424606,123351100
2021-01-28,351.5486145019531,355.55161937828063,349.92879841681105,350.3663101277551,94198100
2021-01-29,344.5106506347656,350.6548189054019,342.83495288285974,349.686639876068,126765100
2021-02-01,350.2452392578125,351.27856215518443,344.7992707610039,347.90858629226074,75817600
2021-02-02,355.1978759765625,356.75254834286187,350.32910906965094,353.4291069607294,64450700
2021-02-03,355.4771423339844,357.19937586145977,354.2017673399159,356.026389967423,52427100
2021-02-04,359.51739501953125,359.563930354463,355.5888524983493,356.5104680448607,47142600
2021-02-05,360.9324035644531,361.6399224767463,359.47085881489795,361.3885805309923,48669800
2021-02-08,363.53900146484375,363.58553679527535,361.52818085884974,362.3846241257551,38365200
2021-02-09,363.2969665527344,363.89277790526904,362.29157040764335,362.7011552001997,35551100
2021-02-10,363.1387634277344,365.1868298240842,360.7369659355189,365.0378769579993,59154400
2021-02-11,363.7252197265625,364.6375452854998,361.2954955929545,364.21861361632875,42913300
2021-02-12,365.52197265625,365.76399619957346,362.85016796886265,362.9246586051573,50593300
2021-02-16,365.20538330078125,366.94625368053585,364.4885743748941,366.7507370926893,50972400
2021-02-17,365.28912353515625,365.5404654309399,362.4404400003846,363.45518283226,52290600
2021-02-18,363.73455810546875,364.47929399166895,360.9603643711448,362.68259806906747,59712800
2021-02-19,363.0921325683594,365.27983282306974,362.64527408765895,364.9912455990278,83241000
2021-02-22,360.2994079589844,362.71052376422216,360.02942912693527,360.3273348443789,67414200
